,Name
132,rHA1_23_H3N2_A/NewYork/55/2004_binarized
133,rHA1_3_H3N2_A/Guizhou/54/1989_binarized
134,rHA1_96_H3N2_A/California/7/2004_binarized
135,rHA1_97_H3N2_A/HongKong/4801/2014_binarized
136,rHA2_116_H3N2_A/HongKong/4801/2014_binarized
137,rHA_103_H3N2_A/Cambodia/e0826360/2020_binarized
138,rHA_108_H3N2_A/HongKong/2671/2019_binarized
139,rHA_114_H3N2_A/Darwin/6/2021_binarized
140,rHA_12_H3N2_A/Brisbane/10/2007_binarized
141,rHA_14_H3N2_A/Perth/16/2009_binarized
142,rHA_16_H3N2_A/Victoria/210/2009_binarized
143,rHA_19_H3N2_A/Switzerland/9715293/2013_binarized
144,rHA_209_H3N2_A/Kansas/14/2017_binarized
145,rHA_213_H3N2_A/Singapore/INFIMH-16-0019/2016_binarized
146,rHA_24_H3N2_A/Sydney/5/1997_binarized
147,rHA_8_H3N2_A/Wisconsin/67/2005_binarized
148,rHA_90_H3N2_A/Fujian/411/2002_binarized
149,rHA_94_H3N2_A/Aichi/2/1968_binarized
150,rHA_95_H3N2_A/California/7/2004_binarized
151,H3N2_HA_breadth
152,H1N1_HA_magnitude
153,H1N1_HA_gmean_magnitude
154,rHA1_1_H1N1_A/USSR/90/1977_binarized
155,rHA1_4_H1N1_A/Beijing/262/1995_binarized
156,rHA1_93_H1N1_A/Michigan/45/2015_binarized
157,rHA_101_H1N1_A/Wisconsin/588/2019_binarized
158,rHA_110_H1N1_(A/Guangdong-Maonan/SWL1536/2019)/(A/Hawaii/70/2019)_binarized
159,rHA_111_H1N1_A/Brisbane/02/2018_binarized
160,rHA_11_H1N1_A/Brisbane/59/2007_binarized
161,rHA_15_H1N1_A/California/07/2009_binarized
162,rHA_201_H1N1_A/PuertoRico/8/1934_binarized
163,rHA_207_H1N1_A/Brisbane/02/2018_binarized
164,rHA_214_H1N1_A/California/07/2009_binarized
165,rHA_21_H1N1_A/WSN/1933_binarized
166,rHA_22_H1N1_A/PuertoRico/8/1934_binarized
167,rHA_5_H1N1_A/NewCaledonia/20/1999_binarized
168,rHA_63_H1N1_A/SouthCarolina/1/1918_binarized
169,rHA_92_H1N1_A/Michigan/45/2015_binarized
170,rHA_9_H1N1_A/SolomonIslands/3/2006_binarized
171,H1N1_HA_breadth
172,H7N9_HA_magnitude
173,H7N9_HA_gmean_magnitude
174,rHA1_205_H7N9_A/Shenghai/2/2013_binarized
175,rHA_203_H7N9_A/Shenghai/2/2013_binarized
176,rHA_27_H7N9_A/Shanghai/1/2013_binarized
177,rHA_46_H7N9_A/Anhui/1/2013_binarized
178,H7N9_HA_breadth
179,H5N1_HA_magnitude
180,H5N1_HA_gmean_magnitude
181,rHA1_35_H5N1_A/chicken/Yamaguchi/7/2004_binarized
182,rHA2_117_H5N1_A/Vietnam/1203/2004_binarized
183,rHA_202_H5N1_A/Hong_Kong/483/1997_binarized
184,rHA_36_H5N1_A/Anhui/1/2005_binarized
185,rHA_37_H5N1_A/Hong_Kong/483/1997_binarized
186,rHA_38_H5N1_A/Indonesia/5/2005_binarized
187,rHA_81_H5N1_A/Bar-headedgoose/Qingi/14/2008_binarized
188,rHA_BEI_9_H5N1_A/duck/Hunan/795/2002_binarized
189,H5N1_HA_breadth
190,H2N2_HA_magnitude
191,H2N2_HA_gmean_magnitude
192,rHA_33_H2N2_A/Japan/305/1957_binarized
193,H2N2_HA_breadth
194,B_NA_magnitude
195,B_NA_gmean_magnitude
196,rNA_102_H1N1_A/Wisconsin/588/2019_binarized
197,rNA_208_H1N1_A/Brisbane/02/2018_binarized
198,rNA_215_H1N1_A/California/07/2009_binarized
199,rNA_74_H1N1_A/Michigan/45/2015_binarized
200,rNA_78_H1N1_A/USSR/90/1977_binarized
201,rNA_91_H1N1_A/California/04/2009_binarized
202,rNA_BEI_7_H1N1_A/Puerto_Rico/8/1934_binarized
203,B_NA_breadth
204,H3N2_NA_magnitude
205,H3N2_NA_gmean_magnitude
206,rNA_104_H3N2_A/Cambodia/e0826360/2020_binarized
207,rNA_115_H3N2_A/Darwin/6/2021_binarized
208,rNA_210_H3N2_A/Kansas/14/2017_binarized
209,rNA_216_H3N2_A/Aichi/2/1968_binarized
210,rNA_218_H3N2_A/Wisconsin/67/2005_binarized
211,rNA_72_H3N2_A/Babol/36/2005_binarized
212,rNA_73_H3N2_A/Hong_Kong/4801/2014_binarized
213,rNA_BEI_15_H3N2_A/Wisconsin/67/2005_binarized
214,H3N2_NA_breadth
215,H1N1_NA_magnitude
216,H1N1_NA_gmean_magnitude
217,rNA_106_B_B/Washington/02/2019_binarized
218,rNA_113_B_B/Austria/1359417/2021_binarized
219,rNA_212_B_B/Colorado/06/2017_binarized
220,rNA_75_B_B/Phuket/3073/2013_binarized
221,rNA_BEI_14_B_B/Hong_Kong/330/2001_binarized
222,rNA_BEI_5_B_B/Florida/4/2006_binarized
223,H1N1_NA_breadth
224,H7N9_NA_magnitude
225,H7N9_NA_gmean_magnitude
226,rNA_206_H5N1_A/Thailand/1(KAN-1)/2004_binarized
227,rNA_70_H5N1_A/Hubei/1/2010_binarized
228,rNA_71_H5N1_A/Thailand/1(KAN-1)/2004_binarized
229,rNA_99_H5N1_A/Anhui/1/2005_binarized
230,H7N9_NA_breadth
231,H5N1_NA_magnitude
232,H5N1_NA_gmean_magnitude
233,rNA_76_H7N9_A/Shanghai/1/2013_binarized
234,rNA_77_H7N9_A/Anhui/1/2013_binarized
235,rNA_BEI_2_H7N9_A/Anhui/1/2013_binarized
236,H5N1_NA_breadth
